mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Colour,Answer,Response.keys,Response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Type,participant,session,id,group,date,expName,psychopyVersion,OS,frameRate,outer_loop.thisRepN,outer_loop.thisTrialN,outer_loop.thisN,outer_loop.thisIndex,outer_loop.ran
-0.057180851,-0.406914894,0,0,0,yellow,j,,0,0,0,0,6,1,gardener,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,blue,f,,0,0,1,1,4,1,careful,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,green,k,,0,0,2,2,3,1,carrier,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,blue,f,,0,0,3,3,8,1,shoulder,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,yellow,j,,0,0,4,4,0,1,gradual,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,green,k,,0,0,5,5,5,1,overall,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,yellow,j,,0,0,6,6,9,1,bulletin,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,green,k,,0,0,7,7,10,1,describe,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,blue,f,,0,0,8,8,2,1,distant,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,yellow,j,,0,0,9,9,13,1,back,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,blue,f,,0,0,10,10,12,1,area,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,red,d,,0,0,11,11,1,1,primate,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,red,d,,0,0,12,12,11,1,cloakroom,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,red,d,,0,0,13,13,7,1,backdrop,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,blue,f,,0,0,14,14,14,1,crumb,Practice,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,,,,,,,,,,,,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,0,0,0,0,1
,,,,,red,d,,0,0,0,0,11,1,abbey,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,blue,f,,0,0,1,1,21,1,adjacent,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,red,d,,0,0,2,2,12,1,appendix,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,red,d,,0,0,3,3,27,1,dozen,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,green,k,,0,0,4,4,4,1,conservative,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,yellow,j,,0,0,5,5,3,1,acre,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,blue,f,,0,0,6,6,19,1,asparagus,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,blue,f,,0,0,7,7,10,1,omission,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,yellow,j,,0,0,8,8,16,1,involvement,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,green,k,,0,0,9,9,18,1,almond,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,red,d,,0,0,10,10,9,1,bathroom,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,yellow,j,,0,0,11,11,20,1,clinic,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,yellow,j,,0,0,12,12,5,1,basis,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,red,d,,0,0,13,13,28,1,basket,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,green,k,,0,0,14,14,24,1,consulate,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,green,k,,0,0,15,15,25,1,hole,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
,,,,,yellow,j,,0,0,16,16,6,1,branch,Neutral,,,,,2022-02-16_16h01.54.743,estroop,2021.2.3,Win32,59.92329818,,,,,
