mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Colour,Answer,Response.keys,Response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Type,participant,session,id,group,date,expName,psychopyVersion,OS,frameRate,outer_loop.thisRepN,outer_loop.thisTrialN,outer_loop.thisN,outer_loop.thisIndex,outer_loop.ran
0.143877551,-0.45,1,0,0,blue,f,,0,0,0,0,0,1,gradual,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,green,k,,0,0,1,1,13,1,back,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,yellow,j,,0,0,2,2,1,1,primate,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,green,k,,0,0,3,3,9,1,bulletin,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,red,d,,0,0,4,4,3,1,carrier,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,green,k,,0,0,5,5,11,1,cloakroom,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,yellow,j,,0,0,6,6,7,1,backdrop,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,yellow,j,,0,0,7,7,14,1,crumb,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,yellow,j,,0,0,8,8,6,1,gardener,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,yellow,j,,0,0,9,9,8,1,shoulder,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,green,k,,0,0,10,10,10,1,describe,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,yellow,j,,0,0,11,11,12,1,area,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,red,d,,0,0,12,12,2,1,distant,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,red,d,,0,0,13,13,5,1,overall,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,yellow,j,,0,0,14,14,4,1,careful,Practice,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,,,,,,,,,,,,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,0,0,0,0,1
,,,,,green,k,,0,0,0,0,7,1,allow,Neutral,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,yellow,j,,0,0,1,1,29,1,clipboard,Neutral,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,blue,f,,0,0,2,2,14,1,lens,Neutral,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,red,d,,0,0,3,3,15,1,biscuit,Neutral,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
,,,,,green,k,,0,0,4,4,18,1,almond,Neutral,1,1,1,,2022-11-10_08h41.35.121,estroop,2021.2.3,iPhone,58.82352941,,,,,
